Jour_Semaine,Date_du_mois,Mois,ANNEE,Effectif,numero_mois,numero_jour
Samedi,1,Janvier,1994,8096,1,6
Dimanche,2,Janvier,1994,7772,1,7
Lundi,3,Janvier,1994,10142,1,1
Mardi,4,Janvier,1994,11248,1,2
Mercredi,5,Janvier,1994,11053,1,3
Jeudi,6,Janvier,1994,11406,1,4
Vendredi,7,Janvier,1994,11251,1,5
Samedi,8,Janvier,1994,8653,1,6
Dimanche,9,Janvier,1994,7910,1,7
Lundi,10,Janvier,1994,10498,1,1
Mardi,11,Janvier,1994,11706,1,2
Mercredi,12,Janvier,1994,11567,1,3
Jeudi,13,Janvier,1994,11212,1,4
Vendredi,14,Janvier,1994,11570,1,5
Samedi,15,Janvier,1994,8660,1,6
Dimanche,16,Janvier,1994,8123,1,7
Lundi,17,Janvier,1994,10567,1,1
Mardi,18,Janvier,1994,11541,1,2
Mercredi,19,Janvier,1994,11257,1,3
Jeudi,20,Janvier,1994,11682,1,4
Vendredi,21,Janvier,1994,11811,1,5
Samedi,22,Janvier,1994,8833,1,6
Dimanche,23,Janvier,1994,8310,1,7
Lundi,24,Janvier,1994,11125,1,1
Mardi,25,Janvier,1994,11981,1,2
Mercredi,26,Janvier,1994,11514,1,3
Jeudi,27,Janvier,1994,11702,1,4
Vendredi,28,Janvier,1994,11666,1,5
Samedi,29,Janvier,1994,8988,1,6
Dimanche,30,Janvier,1994,8096,1,7
Lundi,31,Janvier,1994,10765,1,1
Mardi,1,Fevrier,1994,11755,2,2
Mercredi,2,Fevrier,1994,11483,2,3
Jeudi,3,Fevrier,1994,11523,2,4
Vendredi,4,Fevrier,1994,11677,2,5
Samedi,5,Fevrier,1994,8991,2,6
Dimanche,6,Fevrier,1994,8309,2,7
Lundi,7,Fevrier,1994,10984,2,1
Mardi,8,Fevrier,1994,12152,2,2
Mercredi,9,Fevrier,1994,11515,2,3
Jeudi,10,Fevrier,1994,11623,2,4
Vendredi,11,Fevrier,1994,11517,2,5
Samedi,12,Fevrier,1994,8945,2,6
Dimanche,13,Fevrier,1994,8171,2,7
Lundi,14,Fevrier,1994,11551,2,1
Mardi,15,Fevrier,1994,12164,2,2
Mercredi,16,Fevrier,1994,12009,2,3
Jeudi,17,Fevrier,1994,11674,2,4
Vendredi,18,Fevrier,1994,11887,2,5
Samedi,19,Fevrier,1994,8946,2,6
Dimanche,20,Fevrier,1994,8402,2,7
Lundi,21,Fevrier,1994,10617,2,1
Mardi,22,Fevrier,1994,11810,2,2
Mercredi,23,Fevrier,1994,11776,2,3
Jeudi,24,Fevrier,1994,11667,2,4
Vendredi,25,Fevrier,1994,11905,2,5
Samedi,26,Fevrier,1994,8988,2,6
Dimanche,27,Fevrier,1994,8195,2,7
Lundi,28,Fevrier,1994,11091,2,1
Mardi,1,Mars,1994,12127,3,2
Mercredi,2,Mars,1994,11735,3,3
Jeudi,3,Mars,1994,11984,3,4
Vendredi,4,Mars,1994,12066,3,5
Samedi,5,Mars,1994,9215,3,6
Dimanche,6,Mars,1994,8389,3,7
Lundi,7,Mars,1994,10996,3,1
Mardi,8,Mars,1994,12275,3,2
Mercredi,9,Mars,1994,11780,3,3
Jeudi,10,Mars,1994,11792,3,4
Vendredi,11,Mars,1994,11939,3,5
Samedi,12,Mars,1994,9087,3,6
Dimanche,13,Mars,1994,8248,3,7
Lundi,14,Mars,1994,11092,3,1
Mardi,15,Mars,1994,12298,3,2
Mercredi,16,Mars,1994,11865,3,3
Jeudi,17,Mars,1994,11976,3,4
Vendredi,18,Mars,1994,11799,3,5
Samedi,19,Mars,1994,8944,3,6
Dimanche,20,Mars,1994,8243,3,7
Lundi,21,Mars,1994,11140,3,1
Mardi,22,Mars,1994,11964,3,2
Mercredi,23,Mars,1994,11637,3,3
Jeudi,24,Mars,1994,11904,3,4
Vendredi,25,Mars,1994,11568,3,5
Samedi,26,Mars,1994,8957,3,6
Dimanche,27,Mars,1994,8189,3,7
Lundi,28,Mars,1994,11051,3,1
Mardi,29,Mars,1994,12154,3,2
Mercredi,30,Mars,1994,11540,3,3
Jeudi,31,Mars,1994,11782,3,4
Vendredi,1,Avril,1994,10630,4,5
Samedi,2,Avril,1994,8782,4,6
Dimanche,3,Avril,1994,7530,4,7
Lundi,4,Avril,1994,10909,4,1
Mardi,5,Avril,1994,11876,4,2
Mercredi,6,Avril,1994,11811,4,3
Jeudi,7,Avril,1994,11718,4,4
Vendredi,8,Avril,1994,11532,4,5
Samedi,9,Avril,1994,8791,4,6
Dimanche,10,Avril,1994,8183,4,7
Lundi,11,Avril,1994,11060,4,1
Mardi,12,Avril,1994,12146,4,2
Mercredi,13,Avril,1994,11428,4,3
Jeudi,14,Avril,1994,11709,4,4
Vendredi,15,Avril,1994,11753,4,5
Samedi,16,Avril,1994,8790,4,6
Dimanche,17,Avril,1994,7867,4,7
Lundi,18,Avril,1994,11094,4,1
Mardi,19,Avril,1994,11966,4,2
Mercredi,20,Avril,1994,11585,4,3
Jeudi,21,Avril,1994,11509,4,4
Vendredi,22,Avril,1994,11553,4,5
Samedi,23,Avril,1994,8613,4,6
Dimanche,24,Avril,1994,8089,4,7
Lundi,25,Avril,1994,10909,4,1
Mardi,26,Avril,1994,12236,4,2
Mercredi,27,Avril,1994,11701,4,3
Jeudi,28,Avril,1994,11527,4,4
Vendredi,29,Avril,1994,11474,4,5
Samedi,30,Avril,1994,8621,4,6
Dimanche,1,Mai,1994,8145,5,7
Lundi,2,Mai,1994,11169,5,1
Mardi,3,Mai,1994,12023,5,2
Mercredi,4,Mai,1994,11754,5,3
Jeudi,5,Mai,1994,11958,5,4
Vendredi,6,Mai,1994,11904,5,5
Samedi,7,Mai,1994,8641,5,6
Dimanche,8,Mai,1994,8203,5,7
Lundi,9,Mai,1994,10914,5,1
Mardi,10,Mai,1994,11771,5,2
Mercredi,11,Mai,1994,11278,5,3
Jeudi,12,Mai,1994,11822,5,4
Vendredi,13,Mai,1994,11085,5,5
Samedi,14,Mai,1994,8830,5,6
Dimanche,15,Mai,1994,8253,5,7
Lundi,16,Mai,1994,11103,5,1
Mardi,17,Mai,1994,12289,5,2
Mercredi,18,Mai,1994,11668,5,3
Jeudi,19,Mai,1994,11411,5,4
Vendredi,20,Mai,1994,11645,5,5
Samedi,21,Mai,1994,8830,5,6
Dimanche,22,Mai,1994,8449,5,7
Lundi,23,Mai,1994,11434,5,1
Mardi,24,Mai,1994,12562,5,2
Mercredi,25,Mai,1994,12005,5,3
Jeudi,26,Mai,1994,11979,5,4
Vendredi,27,Mai,1994,12132,5,5
Samedi,28,Mai,1994,8840,5,6
Dimanche,29,Mai,1994,8205,5,7
Lundi,30,Mai,1994,8468,5,1
Mardi,31,Mai,1994,11525,5,2
Mercredi,1,Juin,1994,12349,6,3
Jeudi,2,Juin,1994,12166,6,4
Vendredi,3,Juin,1994,11799,6,5
Samedi,4,Juin,1994,9182,6,6
Dimanche,5,Juin,1994,8289,6,7
Lundi,6,Juin,1994,11130,6,1
Mardi,7,Juin,1994,12145,6,2
Mercredi,8,Juin,1994,11784,6,3
Jeudi,9,Juin,1994,11648,6,4
Vendredi,10,Juin,1994,12006,6,5
Samedi,11,Juin,1994,8618,6,6
Dimanche,12,Juin,1994,8171,6,7
Lundi,13,Juin,1994,10692,6,1
Mardi,14,Juin,1994,12074,6,2
Mercredi,15,Juin,1994,11954,6,3
Jeudi,16,Juin,1994,11852,6,4
Vendredi,17,Juin,1994,11744,6,5
Samedi,18,Juin,1994,8907,6,6
Dimanche,19,Juin,1994,8302,6,7
Lundi,20,Juin,1994,11337,6,1
Mardi,21,Juin,1994,12182,6,2
Mercredi,22,Juin,1994,12213,6,3
Jeudi,23,Juin,1994,11939,6,4
Vendredi,24,Juin,1994,11979,6,5
Samedi,25,Juin,1994,9047,6,6
Dimanche,26,Juin,1994,8306,6,7
Lundi,27,Juin,1994,11309,6,1
Mardi,28,Juin,1994,12211,6,2
Mercredi,29,Juin,1994,12245,6,3
Jeudi,30,Juin,1994,12157,6,4
Vendredi,1,Juillet,1994,12454,7,5
Samedi,2,Juillet,1994,9268,7,6
Dimanche,3,Juillet,1994,8298,7,7
Lundi,4,Juillet,1994,8564,7,1
Mardi,5,Juillet,1994,11609,7,2
Mercredi,6,Juillet,1994,13086,7,3
Jeudi,7,Juillet,1994,13049,7,4
Vendredi,8,Juillet,1994,12623,7,5
Samedi,9,Juillet,1994,9325,7,6
Dimanche,10,Juillet,1994,8684,7,7
Lundi,11,Juillet,1994,11567,7,1
Mardi,12,Juillet,1994,12507,7,2
Mercredi,13,Juillet,1994,12134,7,3
Jeudi,14,Juillet,1994,12485,7,4
Vendredi,15,Juillet,1994,12691,7,5
Samedi,16,Juillet,1994,9547,7,6
Dimanche,17,Juillet,1994,8848,7,7
Lundi,18,Juillet,1994,11561,7,1
Mardi,19,Juillet,1994,12583,7,2
Mercredi,20,Juillet,1994,12378,7,3
Jeudi,21,Juillet,1994,12447,7,4
Vendredi,22,Juillet,1994,12486,7,5
Samedi,23,Juillet,1994,9463,7,6
Dimanche,24,Juillet,1994,8734,7,7
Lundi,25,Juillet,1994,11757,7,1
Mardi,26,Juillet,1994,12591,7,2
Mercredi,27,Juillet,1994,12423,7,3
Jeudi,28,Juillet,1994,12539,7,4
Vendredi,29,Juillet,1994,12231,7,5
Samedi,30,Juillet,1994,9340,7,6
Dimanche,31,Juillet,1994,8590,7,7
Lundi,1,Aout,1994,11428,8,1
Mardi,2,Aout,1994,12622,8,2
Mercredi,3,Aout,1994,12147,8,3
Jeudi,4,Aout,1994,12601,8,4
Vendredi,5,Aout,1994,12251,8,5
Samedi,6,Aout,1994,9336,8,6
Dimanche,7,Aout,1994,8517,8,7
Lundi,8,Aout,1994,11528,8,1
Mardi,9,Aout,1994,12643,8,2
Mercredi,10,Aout,1994,12525,8,3
Jeudi,11,Aout,1994,12147,8,4
Vendredi,12,Aout,1994,12479,8,5
Samedi,13,Aout,1994,9474,8,6
Dimanche,14,Aout,1994,8926,8,7
Lundi,15,Aout,1994,11391,8,1
Mardi,16,Aout,1994,12605,8,2
Mercredi,17,Aout,1994,12344,8,3
Jeudi,18,Aout,1994,12313,8,4
Vendredi,19,Aout,1994,12227,8,5
Samedi,20,Aout,1994,9646,8,6
Dimanche,21,Aout,1994,8663,8,7
Lundi,22,Aout,1994,11489,8,1
Mardi,23,Aout,1994,12284,8,2
Mercredi,24,Aout,1994,12176,8,3
Jeudi,25,Aout,1994,12076,8,4
Vendredi,26,Aout,1994,12122,8,5
Samedi,27,Aout,1994,9171,8,6
Dimanche,28,Aout,1994,8779,8,7
Lundi,29,Aout,1994,11560,8,1
Mardi,30,Aout,1994,12431,8,2
Mercredi,31,Aout,1994,12272,8,3
Jeudi,1,Septembre,1994,12183,9,4
Vendredi,2,Septembre,1994,12099,9,5
Samedi,3,Septembre,1994,9042,9,6
Dimanche,4,Septembre,1994,8420,9,7
Lundi,5,Septembre,1994,8378,9,1
Mardi,6,Septembre,1994,11448,9,2
Mercredi,7,Septembre,1994,12660,9,3
Jeudi,8,Septembre,1994,12693,9,4
Vendredi,9,Septembre,1994,12811,9,5
Samedi,10,Septembre,1994,9424,9,6
Dimanche,11,Septembre,1994,8373,9,7
Lundi,12,Septembre,1994,11500,9,1
Mardi,13,Septembre,1994,12560,9,2
Mercredi,14,Septembre,1994,12566,9,3
Jeudi,15,Septembre,1994,12655,9,4
Vendredi,16,Septembre,1994,12884,9,5
Samedi,17,Septembre,1994,9779,9,6
Dimanche,18,Septembre,1994,8603,9,7
Lundi,19,Septembre,1994,11659,9,1
Mardi,20,Septembre,1994,12584,9,2
Mercredi,21,Septembre,1994,12468,9,3
Jeudi,22,Septembre,1994,12590,9,4
Vendredi,23,Septembre,1994,12522,9,5
Samedi,24,Septembre,1994,9597,9,6
Dimanche,25,Septembre,1994,8754,9,7
Lundi,26,Septembre,1994,11597,9,1
Mardi,27,Septembre,1994,12591,9,2
Mercredi,28,Septembre,1994,12405,9,3
Jeudi,29,Septembre,1994,12288,9,4
Vendredi,30,Septembre,1994,12090,9,5
Samedi,1,Octobre,1994,9351,10,6
Dimanche,2,Octobre,1994,8477,10,7
Lundi,3,Octobre,1994,11437,10,1
Mardi,4,Octobre,1994,12378,10,2
Mercredi,5,Octobre,1994,12061,10,3
Jeudi,6,Octobre,1994,12017,10,4
Vendredi,7,Octobre,1994,12050,10,5
Samedi,8,Octobre,1994,8981,10,6
Dimanche,9,Octobre,1994,8038,10,7
